"method","AUROC","AUPRC","TPR","FPR","MCC","dir_acc","sign_acc","runtime","status","noise_sd","n_pos","rep_id","sweep"
"idopNetwork",0.577651515151515,0.313351555292732,0.25,0.204545454545455,0.0454545454545455,0.416666666666667,0.333333333333333,29.59,"ok",0.01,30,19,"noise"
"WGCNA",0.467914438502674,0.217415081825883,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.470000000000027,"ok",0.01,30,19,"noise"
"GENIE3",0.501336898395722,0.338552274933961,0.227272727272727,0.25,-0.0227272727272727,0.454545454545455,NA,0.169999999999959,"ok",0.01,30,19,"noise"
"idopNetwork",0.65719696969697,0.284755685896722,0.333333333333333,0.181818181818182,0.151515151515152,0.75,0.444444444444444,51.7600000000001,"ok",0.01,30,20,"noise"
"WGCNA",0.61096256684492,0.296273511223643,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.5,"ok",0.01,30,20,"noise"
"GENIE3",0.447192513368984,0.250094394231781,0.136363636363636,0.279411764705882,-0.143048128342246,0.454545454545455,NA,0.189999999999941,"ok",0.01,30,20,"noise"
"idopNetwork",0.761363636363636,0.509182299313692,0.5,0.136363636363636,0.363636363636364,0.666666666666667,0.3,57.3800000000001,"ok",0.03,30,1,"noise"
"WGCNA",0.512032085561497,0.267382887321423,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.399999999999864,"ok",0.03,30,1,"noise"
"GENIE3",0.591577540106952,0.282666437121764,0.318181818181818,0.220588235294118,0.0975935828877005,0.5,NA,0.210000000000036,"ok",0.03,30,1,"noise"
"idopNetwork",0.611764705882353,0.387124841124741,0.411764705882353,0.181818181818182,0.229946524064171,0.411764705882353,0.444444444444444,52.96,"ok",0.03,30,2,"noise"
"WGCNA",0.479946524064171,0.225060123844989,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.480000000000018,"ok",0.03,30,2,"noise"
"GENIE3",0.518716577540107,0.259553357086497,0.272727272727273,0.235294117647059,0.0374331550802139,0.454545454545455,NA,0.190000000000055,"ok",0.03,30,2,"noise"
"idopNetwork",0.53125,0.219366537401406,0.25,0.204545454545455,0.0454545454545455,0.416666666666667,0.6,21.8599999999999,"ok",0.03,30,3,"noise"
"WGCNA",0.414438502673797,0.204289055838066,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.529999999999973,"ok",0.03,30,3,"noise"
"GENIE3",0.627005347593583,0.312794396824666,0.318181818181818,0.220588235294118,0.0975935828877005,0.681818181818182,NA,0.180000000000064,"ok",0.03,30,3,"noise"
"idopNetwork",0.684659090909091,0.38495807549838,0.333333333333333,0.181818181818182,0.151515151515152,0.583333333333333,0.444444444444444,55.2,"ok",0.03,30,4,"noise"
"WGCNA",0.421122994652406,0.236805976185897,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.490000000000009,"ok",0.03,30,4,"noise"
"GENIE3",0.717245989304813,0.398715585627535,0.409090909090909,0.191176470588235,0.217914438502674,0.681818181818182,NA,0.190000000000055,"ok",0.03,30,4,"noise"
"idopNetwork",0.767992424242424,0.62962958868108,0.583333333333333,0.113636363636364,0.46969696969697,0.583333333333333,0.333333333333333,36.3399999999999,"ok",0.03,30,5,"noise"
"WGCNA",0.491978609625668,0.231432544375857,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.440000000000055,"ok",0.03,30,5,"noise"
"GENIE3",0.603609625668449,0.379548603418738,0.363636363636364,0.205882352941176,0.157754010695187,0.590909090909091,NA,0.189999999999827,"ok",0.03,30,5,"noise"
"idopNetwork",0.689393939393939,0.354505184056606,0.416666666666667,0.159090909090909,0.257575757575758,0.75,0.7,90.25,"ok",0.03,30,6,"noise"
"WGCNA",0.457219251336898,0.222569181326794,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.490000000000009,"ok",0.03,30,6,"noise"
"GENIE3",0.660427807486631,0.36341857803206,0.318181818181818,0.220588235294118,0.0975935828877005,0.545454545454545,NA,0.180000000000064,"ok",0.03,30,6,"noise"
"idopNetwork",0.698863636363636,0.465110812214085,0.416666666666667,0.159090909090909,0.257575757575758,0.666666666666667,0.3,69.01,"ok",0.03,30,7,"noise"
"WGCNA",0.46524064171123,0.246420637237708,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.460000000000036,"ok",0.03,30,7,"noise"
"GENIE3",0.608957219251337,0.279172467548266,0.136363636363636,0.279411764705882,-0.143048128342246,0.636363636363636,NA,0.200000000000045,"ok",0.03,30,7,"noise"
"idopNetwork",0.661931818181818,0.425697702027418,0.333333333333333,0.181818181818182,0.151515151515152,0.583333333333333,0.555555555555556,64.6400000000001,"ok",0.03,30,8,"noise"
"WGCNA",0.522727272727273,0.257402757616859,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.429999999999836,"ok",0.03,30,8,"noise"
"GENIE3",0.599598930481283,0.297533161013966,0.363636363636364,0.205882352941176,0.157754010695187,0.681818181818182,NA,0.190000000000055,"ok",0.03,30,8,"noise"
"idopNetwork",0.714015151515151,0.518479307710891,0.416666666666667,0.159090909090909,0.257575757575758,0.583333333333333,0.75,36.22,"ok",0.03,30,9,"noise"
