"method","AUROC","AUPRC","TPR","FPR","MCC","dir_acc","sign_acc","runtime","status","rep_id","scenario"
"WGCNA",0.532085561497326,0.268507038676401,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.360000000000127,"ok",20,"VAR1"
"GENIE3",0.497994652406417,0.237381654084995,0.136363636363636,0.279411764705882,-0.143048128342246,0.5,NA,0.1099999999999,"ok",20,"VAR1"
"idopNetwork",0.673295454545455,0.426674771176897,0.5,0.136363636363636,0.363636363636364,0.5,0.571428571428571,26.8300000000002,"ok",21,"LV"
"WGCNA",0.497326203208556,0.292927966695776,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.3599999999999,"ok",21,"LV"
"GENIE3",0.707219251336898,0.362027744340494,0.409090909090909,0.191176470588235,0.217914438502674,0.636363636363636,NA,0.130000000000109,"ok",21,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",21,"VAR1"
"WGCNA",0.504010695187166,0.240476606131759,0.181818181818182,0.264705882352941,-0.0828877005347594,NA,NA,0.339999999999918,"ok",21,"VAR1"
"GENIE3",0.57620320855615,0.281465530973299,0.318181818181818,0.220588235294118,0.0975935828877005,0.545454545454545,NA,0.100000000000136,"ok",21,"VAR1"
"idopNetwork",0.543560606060606,0.329000962755297,0.333333333333333,0.181818181818182,0.151515151515152,0.25,0.5,26.76,"ok",22,"LV"
"WGCNA",0.463903743315508,0.256294878603251,0.363636363636364,0.205882352941176,0.157754010695187,NA,NA,0.329999999999927,"ok",22,"LV"
"GENIE3",0.618983957219251,0.302782336822705,0.272727272727273,0.235294117647059,0.0374331550802139,0.454545454545455,NA,0.1400000000001,"ok",22,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",22,"VAR1"
"WGCNA",0.536096256684492,0.25092290509181,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.339999999999918,"ok",22,"VAR1"
"GENIE3",0.415106951871658,0.215133631151255,0.181818181818182,0.264705882352941,-0.0828877005347594,0.545454545454545,NA,0.100000000000136,"ok",22,"VAR1"
"idopNetwork",0.712121212121212,0.535404768096166,0.416666666666667,0.159090909090909,0.257575757575758,0.583333333333333,0.857142857142857,22.0999999999999,"ok",23,"LV"
"WGCNA",0.478609625668449,0.230476661922448,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.339999999999918,"ok",23,"LV"
"GENIE3",0.670454545454545,0.335847700784202,0.363636363636364,0.205882352941176,0.157754010695187,0.545454545454545,NA,0.130000000000109,"ok",23,"LV"
"idopNetwork",0.421875,0.2770199949146,0.25,0.375,-0.125,0.25,0,10.05,"ok",23,"VAR1"
"WGCNA",0.570855614973262,0.295508581752962,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.340000000000146,"ok",23,"VAR1"
"GENIE3",0.387032085561497,0.192320290453697,0.136363636363636,0.279411764705882,-0.143048128342246,0.454545454545455,NA,0.1099999999999,"ok",23,"VAR1"
"idopNetwork",0.854166666666667,0.573357135374223,0.583333333333333,0.113636363636364,0.46969696969697,0.833333333333333,0.454545454545455,65.27,"ok",24,"LV"
"WGCNA",0.5,0.289750174575821,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.319999999999936,"ok",24,"LV"
"GENIE3",0.730614973262032,0.412998952934651,0.409090909090909,0.191176470588235,0.217914438502674,0.590909090909091,NA,0.130000000000109,"ok",24,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: one node produced an error: NA/NaN/Inf in 'x'",24,"VAR1"
"WGCNA",0.581550802139037,0.303638752753641,0.227272727272727,0.25,-0.0227272727272727,NA,NA,0.319999999999936,"ok",24,"VAR1"
"GENIE3",0.501336898395722,0.228716118714955,0.181818181818182,0.264705882352941,-0.0828877005347594,0.363636363636364,NA,0.110000000000127,"ok",24,"VAR1"
"idopNetwork",0.558712121212121,0.24090050281097,0.166666666666667,0.227272727272727,-0.0606060606060606,0.5,0.428571428571429,49.9300000000001,"ok",25,"LV"
"WGCNA",0.447860962566845,0.230180561424502,0.272727272727273,0.235294117647059,0.0374331550802139,NA,NA,0.339999999999918,"ok",25,"LV"
"GENIE3",0.695855614973262,0.347311397296136,0.363636363636364,0.205882352941176,0.157754010695187,0.636363636363636,NA,0.139999999999873,"ok",25,"LV"
"idopNetwork",NA,NA,NA,NA,NA,NA,NA,NA,"ERROR: power_equation_fit 后物种数不足",25,"VAR1"
"WGCNA",0.584224598930481,0.282375893382949,0.318181818181818,0.220588235294118,0.0975935828877005,NA,NA,0.340000000000146,"ok",25,"VAR1"
"GENIE3",0.52807486631016,0.247772035912697,0.227272727272727,0.25,-0.0227272727272727,0.454545454545455,NA,0.0999999999999091,"ok",25,"VAR1"
"idopNetwork",0.557765151515151,0.253182659123336,0.333333333333333,0.181818181818182,0.151515151515152,0.416666666666667,0.8,43.8300000000002,"ok",26,"LV"
